["1", "01"]	[197.65436234872004, -2575.414283357929]
["1", "02"]	[225.00499161735468, -2356.6052234192321]
["1", "03"]	[212.12043246345274, -2168.6399557729465]
["1", "04"]	[218.91773435304617, -2093.6885595832555]
["1", "05"]	[210.61776375083275, -2058.7510918021321]
["1", "06"]	[219.61115767222734, -2092.8750826982177]
["1", "07"]	[223.63091714666083, -2152.5571083801979]
["1", "08"]	[220.26712754987341, -2232.4980915291503]
["1", "09"]	[196.57963951704195, -2329.7667162258604]
["1", "10"]	[183.73566705619197, -2470.8640409207178]
["1", "11"]	[200.02248310769718, -2648.0699444644001]
["1", "12"]	[182.60821065573415, -2872.1408479151573]
["1", "13"]	[229.10819442536121, -3280.3652409464394]
["1", "14"]	[228.66409743334233, -3739.9698196990762]
["1", "15"]	[274.32658939702065, -4379.6692535618213]
["1", "16"]	[291.41491498402598, -4915.6375796826032]
["1", "17"]	[235.27083255206051, -5360.1891642286382]
["1", "18"]	[244.44794737396904, -5682.1591754012552]
["1", "19"]	[181.30518673124894, -5912.0880003113753]
["1", "20"]	[178.33780972249858, -6001.4492914008497]
["1", "21"]	[156.11380146231008, -5994.0794741769478]
["1", "22"]	[137.98117101618624, -5858.6848991475663]
["1", "23"]	[127.08709830326046, -5480.2671591739036]
["1", "24"]	[131.24403903657762, -5199.363837576936]
["1", "25"]	[126.48041930226725, -4968.1386496824243]
["1", "26"]	[128.09545466000677, -4991.0959207369833]
["1", "27"]	[116.36941968083136, -5019.2913788640735]
["1", "28"]	[120.32382514902341, -5066.2830934898202]
["1", "29"]	[119.968941922426, -5026.9131006763664]
["1", "30"]	[118.3935806242507, -4988.3574978264342]
["1", "31"]	[113.15140574281543, -4811.8234190323337]
["1", "32"]	[108.03976847160493, -4589.6349511656063]
["1", "33"]	[98.993844014518771, -4244.6355131132605]
["1", "34"]	[89.633841615878438, -3906.7744640789438]
["1", "35"]	[59.310232606653301, -3308.8405255515518]
["1", "36"]	[74.881013420791618, -3235.0094296908987]
["1", "37"]	[121.25230520129533, -2785.4033426880819]
["1", "38"]	[126.82779801629623, -3068.248876046011]
["1", "39"]	[152.09112285886854, -3118.7283181201979]
["1", "40"]	[137.12246724929926, -2987.3096770242096]
["1", "41"]	[171.4998030274219, -2627.1537984526844]
["1", "42"]	[175.78604122296008, -2464.116297141984]
["1", "43"]	[215.11699104276377, -1848.2626317298841]
["1", "44"]	[229.8203512105072, -1276.5717460952699]
["1", "45"]	[248.64565632152369, -903.155648672442]
["1", "46"]	[266.01763941201125, -1142.9489547501623]
["1", "47"]	[307.11329520376876, -1027.9469615895575]
["1", "48"]	[311.82420464630292, -920.85060435898629]
["2", "01"]	[312.5013972600313, -884.47928825577685]
["2", "02"]	[316.96186914768981, -972.88297166679354]
["2", "03"]	[283.11758893730519, -918.6214058544183]
["2", "04"]	[285.86539323920476, -747.62583859511199]
["2", "05"]	[262.17828032878322, -520.5593715333556]
["2", "06"]	[273.37445182185064, -315.09325906137531]
["2", "07"]	[289.26359629335371, -100.17528583200033]
["2", "08"]	[283.54227423614793, 128.83860532561209]
["2", "09"]	[243.88661841189082, 459.77945632743615]
["2", "10"]	[235.47922270289484, 862.26445644161447]
["2", "11"]	[210.80398601590474, 1691.2610644082072]
["2", "12"]	[219.74208152971872, 2879.0461989201913]
["2", "13"]	[303.68147196571255, 4865.813018023282]
["2", "14"]	[255.08483659389665, 5865.8964638688176]
["2", "15"]	[269.11731538864797, 7114.845521661824]
["2", "16"]	[242.08070265970625, 8251.2573834168888]
["2", "17"]	[209.37860998662362, 9185.3823985215004]
["2", "18"]	[214.33071095989621, 9820.1516255803563]
["2", "19"]	[220.34051217669213, 10192.079599436423]
["2", "20"]	[237.11755391716611, 10513.002300855189]
["2", "21"]	[194.96048453035439, 10695.431752713788]
["2", "22"]	[211.48145162756649, 10815.486958826437]
["2", "23"]	[176.56013183818467, 10489.832961624399]
["2", "24"]	[193.19198671188568, 10264.153253124363]
["2", "25"]	[164.96681834409637, 9848.5575839190296]
["2", "26"]	[162.69763665122056, 9634.6338979165339]
["2", "27"]	[127.1022580580473, 10376.731164452876]
["2", "28"]	[137.59585616897783, 11029.194354743933]
["2", "29"]	[133.83499691431084, 11364.708933642889]
["2", "30"]	[143.11332495123492, 11531.555933116009]
["2", "31"]	[124.07079958412385, 11416.188799519918]
["2", "32"]	[128.11603422715015, 11317.367127859981]
["2", "33"]	[108.00613801678863, 10966.993473983182]
["2", "34"]	[99.624837273046651, 10194.394360541848]
["2", "35"]	[124.46086138799319, 8137.2665680539103]
["2", "36"]	[113.29557861106635, 6798.5509858068963]
["2", "37"]	[83.502918302265968, 4609.6884208303063]
["2", "38"]	[110.89016405722028, 4167.5308176535427]
["2", "39"]	[127.47227266946508, 3871.9193642235268]
["2", "40"]	[132.83643438386673, 3835.6251900299903]
["2", "41"]	[164.48876471372841, 3812.9796766988247]
["2", "42"]	[192.81263385484959, 4409.0985805984428]
["2", "43"]	[242.41078194195563, 4533.3429332408687]
["2", "44"]	[245.9865052436277, 4529.0829691815743]
["2", "45"]	[298.19276259883299, 4172.1144184753111]
["2", "46"]	[299.57631468141352, 4290.5996770300117]
["2", "47"]	[327.07014775946794, 3708.7135311170614]
["2", "48"]	[333.52229909878292, 3168.7801743215655]
["3", "01"]	[369.47949391106999, 2757.8001465216321]
["3", "02"]	[361.25154900478219, 2656.4437279938224]
["3", "03"]	[307.31541924798648, 2460.3496381770228]
["3", "04"]	[303.48211219357273, 2303.4356942562854]
["3", "05"]	[283.65276803495857, 2199.1006021062608]
["3", "06"]	[273.81623734352263, 2152.2719421638049]
["3", "07"]	[269.36154962823423, 2126.8208505993571]
["3", "08"]	[264.6742042374724, 2108.2837956255239]
["3", "09"]	[252.56323359789778, 2056.0642085268437]
["3", "10"]	[241.56312265039031, 1997.6748901928156]
["3", "11"]	[252.2052020784846, 1882.1163000797674]
["3", "12"]	[225.20851323462207, 1742.1145806114525]
["3", "13"]	[220.67251213596407, 1515.5274729269104]
["3", "14"]	[219.17130591176701, 1411.1003087314878]
["3", "15"]	[211.24783972180063, 1319.9419743676604]
